date	close	volume
02/08/2010	3752.03	3350706
03/08/2010	3747.51	2937407
04/08/2010	3760.72	3364637
05/08/2010	3764.19	3032419
06/08/2010	3716.05	3512822
09/08/2010	3777.37	2266071
10/08/2010	3730.58	2582741
11/08/2010	3628.29	3096415
12/08/2010	3621.07	3154324
13/08/2010	3610.91	2688648
16/08/2010	3597.6	1912178
17/08/2010	3663.13	2377805
18/08/2010	3647.93	2101626
19/08/2010	3572.4	3220706
20/08/2010	3526.12	3065922
23/08/2010	3553.23	2097324
24/08/2010	3491.11	3116235
25/08/2010	3450.19	3291869
26/08/2010	3475.03	2923408
27/08/2010	3507.44	2884991
30/08/2010	3487.01	1584410
31/08/2010	3490.79	3181816
01/09/2010	3623.84	4163625
02/09/2010	3631.43	2835046
03/09/2010	3672.2	3382178
06/09/2010	3684.73	1759926
07/09/2010	3643.81	2664373
08/09/2010	3677.21	3066387
09/09/2010	3722.15	3084546
10/09/2010	3725.82	2771462
13/09/2010	3767.15	3145072
14/09/2010	3774.4	3024512
15/09/2010	3755.64	2984154
16/09/2010	3736.3	2840645
17/09/2010	3722.02	7261445
20/09/2010	3788.01	3041034
21/09/2010	3784.4	3442898
22/09/2010	3735.05	3459976
23/09/2010	3710.61	3206180
24/09/2010	3782.48	3665038
27/09/2010	3766.16	2499580
28/09/2010	3762.35	3519310
29/09/2010	3737.12	3471457
30/09/2010	3715.18	4078663
01/10/2010	3692.09	3570721
04/10/2010	3649.81	2822870
05/10/2010	3731.93	3226416
06/10/2010	3764.91	3785350
07/10/2010	3770.47	3621498
08/10/2010	3763.18	3133084
11/10/2010	3768.49	2321228
12/10/2010	3748.86	3252139
13/10/2010	3828.34	3261221
14/10/2010	3819.17	3766132
15/10/2010	3827.37	4046120
18/10/2010	3834.5	2425579
19/10/2010	3807.17	3275382
20/10/2010	3828.15	2681990
21/10/2010	3878.27	3871974
22/10/2010	3868.54	2710018
25/10/2010	3870	2438531
26/10/2010	3852.66	3108298
27/10/2010	3815.77	3145786
28/10/2010	3834.84	2838068
29/10/2010	3833.5	2874257
01/11/2010	3841.11	2311545
02/11/2010	3865.72	2618055
03/11/2010	3842.94	3124306
04/11/2010	3916.78	4668689
05/11/2010	3916.73	3709317
08/11/2010	3913.7	2458041
09/11/2010	3945.71	3182788
10/11/2010	3888.45	3819339
11/11/2010	3867.35	3151004
12/11/2010	3831.12	3866824
15/11/2010	3864.24	2524349
16/11/2010	3762.47	3612062
17/11/2010	3792.35	2627843
18/11/2010	3867.97	3301766
19/11/2010	3860.16	2976165
22/11/2010	3818.89	2926052
23/11/2010	3724.42	3814168
24/11/2010	3747.61	3241913
25/11/2010	3760.42	2232020
26/11/2010	3728.65	3176795
29/11/2010	3636.96	4216066
30/11/2010	3610.44	4744683
01/12/2010	3669.29	4360509
02/12/2010	3747.04	4935186
03/12/2010	3750.55	3476643
06/12/2010	3749.23	2731774
07/12/2010	3810.5	3804369
08/12/2010	3831.98	3220274
09/12/2010	3858.05	3695682
10/12/2010	3857.35	2599545
13/12/2010	3892.44	3204337
14/12/2010	3902.87	2640287
15/12/2010	3880.19	2939382
16/12/2010	3888.36	2800076
17/12/2010	3867.35	4421146
20/12/2010	3885.08	2439578
21/12/2010	3927.49	2436375
22/12/2010	3919.71	2140932
23/12/2010	3911.32	1458197
24/12/2010	3900.39	306151
27/12/2010	3862.19	1248394
28/12/2010	3858.72	935106
29/12/2010	3890.65	1223951
30/12/2010	3850.76	1326307
31/12/2010	3804.78	620199
03/01/2011	3900.86	1862494
04/01/2011	3916.03	2988819
05/01/2011	3904.61	3224056
06/01/2011	3904.42	3166814
07/01/2011	3865.58	3091964
10/01/2011	3802.03	3225833
11/01/2011	3861.92	3537804
12/01/2011	3945.07	4211125
13/01/2011	3974.83	4849518
14/01/2011	3983.28	3994003
17/01/2011	3975.41	2288847
18/01/2011	4012.68	3680598
19/01/2011	3976.71	3950876
20/01/2011	3964.84	4758856
21/01/2011	4017.45	5534223
24/01/2011	4033.21	3186825
25/01/2011	4019.62	3746287
26/01/2011	4049.07	4207045
27/01/2011	4059.57	4203394
28/01/2011	4002.32	4513046
31/01/2011	4005.5	4083673
01/02/2011	4072.62	4243251
02/02/2011	4066.53	3717776
03/02/2011	4036.59	3524864
04/02/2011	4047.21	3233586
07/02/2011	4090.8	3358150
08/02/2011	4108.27	3876595
09/02/2011	4090.74	3549591
10/02/2011	4095.14	4167838
11/02/2011	4101.31	4165421
14/02/2011	4096.62	3211272
15/02/2011	4110.34	3199498
16/02/2011	4151.26	4583413
17/02/2011	4152.31	4388332
18/02/2011	4157.14	4328268
21/02/2011	4097.41	3124188
22/02/2011	4050.27	4224625
23/02/2011	4013.12	3828068
24/02/2011	4009.64	4318348
25/02/2011	4070.38	3265301
28/02/2011	4110.35	3469646
01/03/2011	4067.15	4058946
02/03/2011	4034.32	4200198
03/03/2011	4060.76	4262511
04/03/2011	4020.21	4097951
07/03/2011	3990.41	3497608
08/03/2011	4015.91	3467502
09/03/2011	3993.81	3510465
10/03/2011	3963.99	3556758
11/03/2011	3928.68	3919187
14/03/2011	3878.04	5259426
15/03/2011	3780.85	7684955
16/03/2011	3696.56	6030372
17/03/2011	3786.21	5383150
18/03/2011	3811.8	6619814
21/03/2011	3904.45	3888324
22/03/2011	3892.71	3627526
23/03/2011	3913.73	3014581
24/03/2011	3968.84	3285932
25/03/2011	3972.38	2589873
28/03/2011	3976.95	2421857
29/03/2011	3987.8	2701294
30/03/2011	4024.44	3186011
31/03/2011	3989.18	3502993
01/04/2011	4054.76	3990249
04/04/2011	4042.92	2788609
05/04/2011	4041.74	3080413
06/04/2011	4048.16	3548287
07/04/2011	4028.3	3375673
08/04/2011	4061.91	2876849
11/04/2011	4038.7	2752104
12/04/2011	3976.6	3705154
13/04/2011	4006.23	2758084
14/04/2011	3970.39	3228553
15/04/2011	3974.48	3566005
18/04/2011	3881.24	4437521
19/04/2011	3908.58	3240637
20/04/2011	4004.62	3713371
21/04/2011	4021.88	3113997
26/04/2011	4045.29	2954964
27/04/2011	4067.72	3361375
28/04/2011	4104.9	3543746
29/04/2011	4106.92	2407792
02/05/2011	4108.77	1935709
03/05/2011	4096.84	3300043
04/05/2011	4043.13	4520902
05/05/2011	4004.87	4126834
06/05/2011	4058.01	4088989
09/05/2011	4007.26	3732437
10/05/2011	4052.51	3550490
11/05/2011	4058.08	3627587
12/05/2011	4023.29	3707345
13/05/2011	4018.85	3610941
16/05/2011	3989.82	3433072
17/05/2011	3941.58	3730525
18/05/2011	3978	2827197
19/05/2011	4027.74	3650686
20/05/2011	3990.85	3949999
23/05/2011	3906.98	3659305
